,ID 828,ID 828,ID 828,ID 828,ID 828,ID 828,ID 828,ID 949,ID 949,ID 949,ID 949,ID 949,ID 949,ID 949,ID 1007,ID 1007,ID 1007,ID 1007,ID 1007,ID 1007,ID 1007,ID 620,ID 620,ID 620,ID 620,ID 620,ID 620,ID 620,ID 1049,ID 1049,ID 1049,ID 1049,ID 1049,ID 1049,ID 1049,ID 883,ID 883,ID 883,ID 883,ID 883,ID 883,ID 883,ID 776,ID 776,ID 776,ID 776,ID 776,ID 776,ID 776
,HAYDOCK-WILSON,HAYDOCK-WILSON,HAYDOCK-WILSON,HAYDOCK-WILSON,HAYDOCK-WILSON,HAYDOCK-WILSON,HAYDOCK-WILSON,O'DONNELL,O'DONNELL,O'DONNELL,O'DONNELL,O'DONNELL,O'DONNELL,O'DONNELL,SCOTTI,SCOTTI,SCOTTI,SCOTTI,SCOTTI,SCOTTI,SCOTTI,DOOM,DOOM,DOOM,DOOM,DOOM,DOOM,DOOM,BONEVACIA,BONEVACIA,BONEVACIA,BONEVACIA,BONEVACIA,BONEVACIA,BONEVACIA,SANDERS,SANDERS,SANDERS,SANDERS,SANDERS,SANDERS,SANDERS,BIRON,BIRON,BIRON,BIRON,BIRON,BIRON,BIRON
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:02.011,50.143,12.519,4.977,-0.890,9.722,9.066,26.41,56.078,16.212,5.094,-0.811,9.960,9.170,28.19,61.234,20.347,5.047,-0.833,9.808,9.007,28.98,65.766,25.65,5.158,-0.782,10.336,9.518,28.61,69.182,30.838,5.133,-0.794,10.236,9.407,27.44,72.043,36.854,5.278,-0.725,11.482,9.891,25.39,74.217,42.013,5.100,-0.809,10.070,9.324,23.33
00:02.112,50.798,12.973,4.957,-0.918,9.722,9.863,26.60,56.707,16.908,5.084,-0.835,9.960,10.099,28.19,61.748,21.051,5.030,-0.859,9.808,9.879,28.91,66.113,26.386,5.151,-0.807,10.336,10.330,28.37,69.485,31.658,5.124,-0.819,10.236,10.281,27.11,72.231,37.78,5.291,-0.741,11.482,10.834,24.88,74.269,42.824,5.085,-0.836,10.070,10.137,22.77
00:02.211,51.373,13.448,4.938,-0.947,11.352,10.584,26.75,57.303,17.584,5.075,-0.859,9.960,10.998,28.14,62.221,21.727,5.014,-0.886,11.470,10.704,28.78,66.474,27.129,5.144,-0.831,11.988,11.155,28.09,69.737,32.473,5.114,-0.845,10.236,11.134,26.75,72.357,38.633,5.303,-0.757,11.482,11.696,24.36,74.317,43.636,5.070,-0.864,11.741,10.933,22.23
00:02.311,52.058,14.014,4.918,-0.976,11.352,11.473,26.82,57.91,18.29,5.065,-0.883,11.799,11.923,28.09,62.732,22.463,4.998,-0.913,11.470,11.588,28.63,66.854,27.996,5.136,-0.855,11.988,12.102,27.82,69.999,33.298,5.105,-0.870,11.962,11.999,26.35,72.487,39.531,5.316,-0.773,13.288,12.603,23.85,74.362,44.549,5.109,-0.857,11.741,11.847,21.69
00:02.411,52.783,14.646,5.006,-0.883,12.986,12.416,26.90,58.504,18.985,5.164,-0.787,11.799,12.840,28.02,63.198,23.251,5.084,-0.822,13.191,12.503,28.47,67.202,28.806,5.230,-0.763,13.760,12.981,27.48,70.24,34.138,5.192,-0.780,11.962,12.871,25.95,72.607,40.508,5.432,-0.673,13.288,13.585,23.30,74.371,45.396,5.187,-0.771,13.468,12.694,21.08
00:02.511,53.487,15.283,5.093,-0.791,12.986,13.366,26.97,59.039,19.647,5.262,-0.691,13.644,13.687,27.94,63.684,24.071,5.170,-0.730,13.191,13.445,28.25,67.516,29.611,5.324,-0.670,13.760,13.845,27.15,70.467,34.984,5.279,-0.690,13.701,13.748,25.53,72.732,41.448,5.549,-0.573,15.179,14.531,22.70,74.351,46.284,5.266,-0.684,13.468,13.563,20.49
00:02.611,54.125,15.875,5.180,-0.699,14.904,14.235,27.01,59.652,20.392,5.361,-0.595,13.644,14.651,27.85,64.096,24.835,5.256,-0.639,15.066,14.313,28.01,67.837,30.442,5.418,-0.578,15.513,14.736,26.80,70.688,35.792,5.366,-0.601,13.701,14.584,25.09,72.839,42.389,5.665,-0.473,15.179,15.472,22.12,74.313,47.112,5.345,-0.598,15.210,14.392,19.85
00:02.711,54.78,16.545,5.267,-0.607,14.904,15.158,27.05,60.211,21.112,5.459,-0.498,15.459,15.562,27.76,64.55,25.644,5.342,-0.547,15.066,15.231,27.76,68.166,31.314,5.511,-0.485,15.513,15.665,26.44,70.907,36.691,5.453,-0.511,15.414,15.503,24.68,72.912,43.392,5.782,-0.373,17.074,16.476,21.53,74.263,47.997,5.424,-0.511,15.210,15.278,19.23
00:02.811,55.419,17.132,5.457,-0.486,16.703,16.024,27.04,60.785,21.862,5.659,-0.376,15.459,16.500,27.65,64.966,26.496,5.542,-0.422,16.854,16.179,27.51,68.458,32.198,5.700,-0.369,17.327,16.596,26.06,71.073,37.568,5.635,-0.396,15.414,16.395,24.19,72.986,44.384,5.969,-0.262,18.079,17.461,20.87,74.187,48.861,5.592,-0.401,16.918,16.126,18.57
00:02.911,56.115,17.846,5.647,-0.366,16.703,17.006,27.07,61.363,22.687,5.859,-0.253,17.314,17.508,27.52,65.359,27.288,5.742,-0.297,16.854,17.063,27.20,68.751,33.043,5.888,-0.252,17.327,17.484,25.64,71.227,38.439,5.818,-0.280,17.231,17.273,23.69,73.017,45.31,6.156,-0.152,18.079,18.385,20.22,74.104,49.749,5.760,-0.292,16.918,17.018,17.91
