,ID 1875,ID 1875,ID 1875,ID 1875,ID 1875,ID 1875,ID 1875,ID 2110,ID 2110,ID 2110,ID 2110,ID 2110,ID 2110,ID 2110,ID 1662,ID 1662,ID 1662,ID 1662,ID 1662,ID 1662,ID 1662,ID 1943,ID 1943,ID 1943,ID 1943,ID 1943,ID 1943,ID 1943,ID 2050,ID 2050,ID 2050,ID 2050,ID 2050,ID 2050,ID 2050,ID 1985,ID 1985,ID 1985,ID 1985,ID 1985,ID 1985,ID 1985
,TREVISAN,TREVISAN,TREVISAN,TREVISAN,TREVISAN,TREVISAN,TREVISAN,KARPIUK,KARPIUK,KARPIUK,KARPIUK,KARPIUK,KARPIUK,KARPIUK,BROSSIER,BROSSIER,BROSSIER,BROSSIER,BROSSIER,BROSSIER,BROSSIER,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,AZEVEDO,AZEVEDO,AZEVEDO,AZEVEDO,AZEVEDO,AZEVEDO,AZEVEDO
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:02.123,56.259,16.075,4.813,-0.372,8.322,9.207,28.38,61.277,20.56,4.823,-0.364,9.797,9.206,28.95,65.652,25.339,4.824,-0.365,9.901,9.188,28.73,69.011,30.544,4.777,-0.386,9.814,9.074,27.48,72.119,36.571,4.900,-0.327,9.633,9.628,25.56,74.093,41.641,4.768,-0.393,8.156,8.946,23.43
00:02.223,56.752,16.647,4.780,-0.369,10.046,9.941,28.41,61.699,21.204,4.794,-0.360,11.365,9.975,28.79,65.988,26.044,4.798,-0.360,11.478,9.969,28.51,69.238,31.249,4.734,-0.388,11.245,9.815,27.20,72.216,37.258,4.879,-0.320,11.084,10.321,25.14,74.156,42.429,4.732,-0.391,9.744,9.736,22.95
00:02.323,57.298,17.202,4.748,-0.366,10.046,10.719,28.36,62.132,21.841,4.766,-0.355,11.365,10.746,28.63,66.332,26.758,4.771,-0.354,11.478,10.759,28.24,69.486,31.987,4.691,-0.390,11.245,10.598,26.86,72.326,38.051,4.859,-0.313,11.084,11.116,24.72,74.202,43.205,4.696,-0.389,9.744,10.513,22.43
00:02.423,57.783,17.705,4.715,-0.364,11.578,11.417,28.35,62.6,22.556,4.737,-0.351,11.365,11.595,28.49,66.635,27.459,4.744,-0.349,11.478,11.521,27.98,69.711,32.69,4.648,-0.392,11.245,11.336,26.52,72.439,38.84,4.838,-0.306,11.084,11.913,24.24,74.243,44.011,4.660,-0.387,11.311,11.308,21.92
00:02.523,58.325,18.327,4.730,-0.338,11.578,12.221,28.34,63.048,23.259,4.762,-0.321,12.989,12.430,28.32,66.975,28.239,4.765,-0.321,13.033,12.373,27.70,69.896,33.378,4.655,-0.369,12.761,12.048,26.18,72.544,39.649,4.867,-0.276,12.681,12.724,23.76,74.257,44.828,4.675,-0.360,11.311,12.125,21.38
00:02.623,58.858,18.957,4.825,-0.272,13.101,13.047,28.28,63.403,23.925,4.868,-0.250,12.989,13.181,28.14,67.293,29.021,4.867,-0.252,13.033,13.214,27.39,70.063,34.078,4.741,-0.306,12.761,12.773,25.82,72.632,40.445,4.976,-0.206,12.681,13.524,23.26,74.268,45.629,4.770,-0.293,12.934,12.926,20.81
00:02.723,59.356,19.625,4.921,-0.206,13.101,13.863,28.21,63.814,24.63,4.973,-0.180,14.576,13.997,27.92,67.624,29.797,4.969,-0.184,14.727,14.058,27.06,70.214,34.824,4.828,-0.243,14.192,13.533,25.45,72.703,41.242,5.085,-0.136,14.297,14.323,22.76,74.252,46.434,4.865,-0.226,12.934,13.717,20.25
00:02.823,59.858,20.294,5.017,-0.139,14.758,14.700,28.09,64.225,25.35,5.079,-0.109,14.576,14.826,27.71,67.924,30.608,5.070,-0.116,14.727,14.918,26.75,70.372,35.559,4.915,-0.180,14.192,14.285,25.02,72.74,42.039,5.194,-0.066,14.297,15.118,22.25,74.255,47.24,4.961,-0.159,14.540,14.522,19.67
00:02.923,60.317,20.918,5.112,-0.073,16.369,15.474,27.98,64.669,26.141,5.185,-0.039,16.221,15.729,27.49,68.211,31.387,5.172,-0.048,16.434,15.748,26.39,70.518,36.3,5.001,-0.116,15.704,15.049,24.62,72.823,42.869,5.304,0.004,15.894,15.950,21.71,74.244,48.043,5.056,-0.092,16.149,15.315,19.10
00:03.023,60.753,21.551,5.269,0.007,16.369,16.225,27.86,65.094,26.936,5.341,0.039,18.029,16.630,27.24,68.446,32.106,5.330,0.032,18.020,16.505,26.04,70.654,37.1,5.150,-0.038,17.270,15.860,24.20,72.866,43.718,5.448,0.075,17.577,16.799,21.18,74.214,48.926,5.220,-0.007,16.149,16.188,18.53
00:03.123,61.205,22.255,5.426,0.087,16.369,17.062,27.72,65.457,27.63,5.497,0.117,18.029,17.406,26.98,68.66,32.864,5.488,0.111,18.020,17.287,25.70,70.777,37.902,5.298,0.040,17.270,16.671,23.73,72.892,44.574,5.593,0.145,17.577,17.651,20.61,74.165,49.77,5.383,0.077,16.149,17.034,17.88
00:03.223,61.659,22.988,5.583,0.167,17.974,17.912,27.54,65.788,28.406,5.653,0.194,19.654,18.250,26.75,68.873,33.695,5.646,0.190,19.665,18.145,25.31,70.898,38.746,5.447,0.119,18.933,17.534,23.25,72.889,45.426,5.738,0.215,19.285,18.502,20.02,74.153,50.588,5.546,0.161,17.877,17.826,17.25
00:03.323,62.106,23.734,5.740,0.247,19.705,18.782,27.34,66.164,29.25,5.808,0.272,19.654,19.173,26.43,69.063,34.569,5.804,0.270,19.665,19.038,24.87,71.037,39.648,5.595,0.197,18.933,18.447,22.73,72.886,46.29,5.883,0.286,19.285,19.366,19.42,74.057,51.423,5.710,0.245,19.533,18.665,16.66
00:03.423,62.572,24.567,5.897,0.327,19.705,19.735,27.13,66.441,30.018,5.964,0.350,19.654,19.982,26.10,69.25,35.443,5.962,0.349,19.665,19.931,24.39,71.136,40.474,5.744,0.275,18.933,19.289,22.20,72.888,47.085,6.028,0.356,19.285,20.153,18.81,73.88,52.33,5.873,0.329,19.533,19.588,16.00
