,ID 1875,ID 1875,ID 1875,ID 1875,ID 1875,ID 1875,ID 1875,ID 2110,ID 2110,ID 2110,ID 2110,ID 2110,ID 2110,ID 2110,ID 1662,ID 1662,ID 1662,ID 1662,ID 1662,ID 1662,ID 1662,ID 1943,ID 1943,ID 1943,ID 1943,ID 1943,ID 1943,ID 1943,ID 2050,ID 2050,ID 2050,ID 2050,ID 2050,ID 2050,ID 2050,ID 1985,ID 1985,ID 1985,ID 1985,ID 1985,ID 1985,ID 1985
,TREVISAN,TREVISAN,TREVISAN,TREVISAN,TREVISAN,TREVISAN,TREVISAN,KARPIUK,KARPIUK,KARPIUK,KARPIUK,KARPIUK,KARPIUK,KARPIUK,BROSSIER,BROSSIER,BROSSIER,BROSSIER,BROSSIER,BROSSIER,BROSSIER,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,BAUMGART-WITAN,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,NIEDERBERGER,AZEVEDO,AZEVEDO,AZEVEDO,AZEVEDO,AZEVEDO,AZEVEDO,AZEVEDO
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:02.196,0,0,4.122,-0.695,8.000,8.000,5.19,0,0,4.122,-0.695,8.000,8.000,5.19,0,0,4.122,-0.697,8.000,8.000,5.19,0,0,4.058,-0.714,8.000,8.000,5.19,0,0,4.058,-0.714,8.000,8.000,5.19,0,0,3.972,-0.752,8.000,8.000,5.19
00:02.296,0,0,3.923,-0.757,8.000,8.000,5.19,0,0,3.923,-0.757,8.000,8.000,5.19,0,0,3.923,-0.758,8.000,8.000,5.19,0,0,3.859,-0.776,8.000,8.000,5.19,0,0,3.859,-0.776,8.000,8.000,5.19,0,0,3.774,-0.814,8.000,8.000,5.19
00:02.396,0,0,3.725,-0.818,8.000,8.000,5.19,0,0,3.725,-0.818,8.000,8.000,5.19,0,0,3.725,-0.820,8.000,8.000,5.19,0,0,3.660,-0.838,8.000,8.000,5.19,0,0,3.660,-0.838,8.000,8.000,5.19,0,0,3.575,-0.876,8.000,8.000,5.19
00:02.496,0,0,3.526,-0.880,8.000,8.000,5.19,0,0,3.526,-0.880,8.000,8.000,5.19,0,0,3.526,-0.881,8.000,8.000,5.19,0,0,3.462,-0.899,8.000,8.000,5.19,0,0,3.462,-0.899,8.000,8.000,5.19,0,0,3.376,-0.937,8.000,8.000,5.19
00:02.596,0,0,3.327,-0.942,8.000,8.000,5.19,0,0,3.327,-0.942,8.000,8.000,5.19,0,0,3.327,-0.943,8.000,8.000,5.19,0,0,3.263,-0.961,8.000,8.000,5.19,0,0,3.263,-0.961,8.000,8.000,5.19,0,0,3.177,-0.999,8.000,8.000,5.19
00:02.696,0,0,3.129,-1.003,8.000,8.000,5.19,0,0,3.129,-1.003,8.000,8.000,5.19,0,0,3.129,-1.004,8.000,8.000,5.19,0,0,3.064,-1.022,8.000,8.000,5.19,0,0,3.064,-1.022,8.000,8.000,5.19,0,0,2.979,-1.060,8.000,8.000,5.19
00:02.796,0,0,2.930,-1.065,8.000,8.000,5.19,0,0,2.894,-1.063,8.000,8.000,5.19,0,0,2.894,-1.064,8.000,8.000,5.19,0,0,2.829,-1.082,8.000,8.000,5.19,0,0,2.829,-1.082,8.000,8.000,5.19,0,0,2.830,-1.082,8.000,8.000,5.19
00:02.896,0,0,2.781,-1.086,8.000,8.000,5.19,0,0,2.745,-1.084,8.000,8.000,5.19,0,0,2.745,-1.085,8.000,8.000,5.19,0,0,2.680,-1.103,8.000,8.000,5.19,0,0,2.680,-1.103,8.000,8.000,5.19,0,0,2.681,-1.103,8.000,8.000,5.19
00:02.996,0,0,2.632,-1.108,8.000,8.000,5.19,0,0,2.596,-1.106,8.000,8.000,5.19,0,0,2.596,-1.107,8.000,8.000,5.19,0,0,2.531,-1.125,8.000,8.000,5.19,0,0,2.531,-1.125,8.000,8.000,5.19,0,0,2.531,-1.125,8.000,8.000,5.19
00:03.096,0,0,2.544,-1.126,8.000,8.000,5.19,0,0,2.505,-1.124,8.000,8.000,5.19,0,0,2.505,-1.125,8.000,8.000,5.19,0,0,2.436,-1.144,8.000,8.000,5.19,0,0,2.436,-1.144,8.000,8.000,5.19,0,0,2.436,-1.144,8.000,8.000,5.19
00:03.196,0,0,2.442,-1.147,8.000,8.000,5.19,0,0,2.401,-1.144,8.000,8.000,5.19,0,0,2.401,-1.145,8.000,8.000,5.19,0,0,2.326,-1.166,8.000,8.000,5.19,0,0,2.326,-1.166,8.000,8.000,5.19,0,0,2.326,-1.166,8.000,8.000,5.19
00:03.296,0,0,2.324,-1.171,8.000,8.000,5.19,0,0,2.279,-1.169,8.000,8.000,5.19,0,0,2.279,-1.170,8.000,8.000,5.19,0,0,2.279,-1.170,8.000,8.000,5.19,0,0,2.279,-1.170,8.000,8.000,5.19,0,0,2.279,-1.170,8.000,8.000,5.19
00:03.396,0,0,2.272,-1.176,8.000,8.000,5.19,0,0,2.222,-1.173,8.000,8.000,5.19,0,0,2.222,-1.174,8.000,8.000,5.19,0,0,2.222,-1.174,8.000,8.000,5.19,0,0,2.222,-1.174,8.000,8.000,5.19,0,0,2.222,-1.174,8.000,8.000,5.19
00:03.496,0,0,2.209,-1.181,8.000,8.000,5.19,0,0,2.155,-1.178,8.000,8.000,5.19,0,0,2.155,-1.179,8.000,8.000,5.19,0,0,2.155,-1.179,8.000,8.000,5.19,0,0,2.155,-1.179,8.000,8.000,5.19,0,0,2.155,-1.179,8.000,8.000,5.19
00:03.596,0,0,2.133,-1.188,8.000,8.000,5.19,0,0,2.072,-1.184,8.000,8.000,5.19,0,0,2.072,-1.185,8.000,8.000,5.19,0,0,2.072,-1.185,8.000,8.000,5.19,0,0,2.072,-1.185,8.000,8.000,5.19,0,0,2.072,-1.185,8.000,8.000,5.19
00:03.696,0,0,2.037,-1.196,8.000,8.000,5.19,0,0,1.969,-1.192,8.000,8.000,5.19,0,0,1.969,-1.193,8.000,8.000,5.19,0,0,1.969,-1.193,8.000,8.000,5.19,0,0,1.969,-1.193,8.000,8.000,5.19,0,0,1.969,-1.193,8.000,8.000,5.19
