,ID 2065,ID 2065,ID 2065,ID 2065,ID 2065,ID 2065,ID 2065,ID 1517,ID 1517,ID 1517,ID 1517,ID 1517,ID 1517,ID 1517,ID 1774,ID 1774,ID 1774,ID 1774,ID 1774,ID 1774,ID 1774,ID 2033,ID 2033,ID 2033,ID 2033,ID 2033,ID 2033,ID 2033,ID 1592,ID 1592,ID 1592,ID 1592,ID 1592,ID 1592,ID 1592,ID 1728,ID 1728,ID 1728,ID 1728,ID 1728,ID 1728,ID 1728,ID 1971,ID 1971,ID 1971,ID 1971,ID 1971,ID 1971,ID 1971
,LEDECKA,LEDECKA,LEDECKA,LEDECKA,LEDECKA,LEDECKA,LEDECKA,COUCKUYT,COUCKUYT,COUCKUYT,COUCKUYT,COUCKUYT,COUCKUYT,COUCKUYT,GNAFAKI,GNAFAKI,GNAFAKI,GNAFAKI,GNAFAKI,GNAFAKI,GNAFAKI,FAHR,FAHR,FAHR,FAHR,FAHR,FAHR,FAHR,FRA,FRA,FRA,FRA,FRA,FRA,FRA,DEMES,DEMES,DEMES,DEMES,DEMES,DEMES,DEMES,SMOLINSKA,SMOLINSKA,SMOLINSKA,SMOLINSKA,SMOLINSKA,SMOLINSKA,SMOLINSKA
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:01.989,47.37,2.047,5.354,0.377,10.687,10.687,32.01,48.502,1.716,4.475,-0.555,8.000,8.000,33.07,73.841,10.363,6.800,0.950,15.509,15.509,44.84,47.713,0.927,4.414,-0.571,8.000,8.000,33.15,46.615,0.99,4.414,-0.571,8.000,8.000,32.30,51.94,2.629,4.361,-0.597,8.000,8.000,34.84,50.269,0.992,4.360,-0.598,8.000,8.000,34.84
00:02.089,47.252,1.8,5.163,0.254,10.687,10.687,32.05,48.477,1.806,4.278,-0.631,8.000,8.000,33.08,73.861,10.372,6.699,0.841,15.509,15.509,44.89,47.696,0.883,4.216,-0.647,8.000,8.000,33.08,46.643,1.054,4.216,-0.647,8.000,8.000,32.26,51.933,2.469,4.163,-0.674,8.000,8.000,34.87,50.346,1.102,4.162,-0.675,8.000,8.000,34.84
00:02.189,47.344,1.935,4.973,0.130,10.687,10.687,32.14,48.525,1.836,4.080,-0.708,8.000,8.000,33.00,73.881,10.361,6.599,0.733,15.509,15.509,44.89,47.685,0.843,4.019,-0.724,8.000,8.000,33.10,46.64,1.073,4.019,-0.724,8.000,8.000,32.24,51.781,2.221,3.965,-0.750,8.000,8.000,34.98,50.336,1.054,3.964,-0.751,8.000,8.000,34.82
00:02.289,47.419,2.128,4.783,0.007,10.687,10.687,32.11,48.531,1.876,3.882,-0.784,8.000,8.000,33.01,73.911,10.328,6.499,0.625,15.509,15.509,44.92,47.568,0.837,3.821,-0.800,8.000,8.000,33.12,46.629,1.089,3.821,-0.800,8.000,8.000,32.22,51.03,1.991,3.768,-0.827,8.000,8.000,35.04,50.264,1.094,3.767,-0.828,8.000,8.000,34.85
00:02.389,47.521,2.254,4.592,-0.116,10.687,10.687,32.03,48.556,1.886,3.685,-0.861,8.000,8.000,32.99,73.901,10.307,6.398,0.516,15.509,15.509,44.96,47.514,0.805,3.623,-0.876,8.000,8.000,33.04,46.604,1.063,3.578,-0.880,8.000,8.000,32.20,50.892,1.96,3.579,-0.880,8.000,8.000,34.68,50.226,1.155,3.578,-0.880,8.000,8.000,34.77
00:02.489,47.595,2.315,4.373,-0.223,10.687,10.687,32.01,48.579,1.852,3.496,-0.914,8.000,8.000,33.00,73.9,10.299,6.085,0.321,15.509,15.509,44.97,47.507,0.813,3.435,-0.929,8.000,8.000,33.03,46.654,1.115,3.389,-0.933,8.000,8.000,32.20,51.158,3.472,3.391,-0.933,8.000,8.000,34.60,50.261,1.312,3.390,-0.933,8.000,8.000,34.70
00:02.589,47.736,2.963,4.153,-0.330,10.687,10.687,32.02,48.619,1.816,3.308,-0.966,8.000,8.000,33.04,73.924,10.281,5.758,0.127,15.509,15.509,44.97,47.423,0.829,3.247,-0.982,8.000,8.000,33.02,46.71,1.169,3.201,-0.986,8.000,8.000,32.20,51.002,3.424,3.202,-0.985,8.000,8.000,33.72,50.215,1.361,3.201,-0.986,8.000,8.000,34.61
00:02.689,48.089,3.867,3.933,-0.437,10.687,10.687,31.66,48.622,1.796,3.120,-1.019,8.000,8.000,33.09,73.938,10.272,5.430,-0.068,15.509,15.509,45.00,47.294,0.861,3.058,-1.034,8.000,8.000,32.95,46.692,1.1,3.013,-1.038,8.000,8.000,32.20,50.966,3.553,3.014,-1.038,8.000,8.000,33.64,50.244,1.488,3.013,-1.038,8.000,8.000,34.54
00:02.789,48.217,4.011,3.714,-0.544,10.756,10.756,31.27,48.641,1.784,2.931,-1.072,8.000,8.000,33.11,73.95,10.268,5.103,-0.263,15.509,15.509,45.02,47.324,0.849,2.870,-1.087,8.000,8.000,32.83,46.682,1.072,2.824,-1.091,8.000,8.000,32.24,50.783,3.51,2.825,-1.091,8.000,8.000,33.53,50.382,1.801,2.825,-1.091,8.000,8.000,34.48
00:02.889,48.206,3.733,3.549,-0.597,10.756,11.141,31.26,48.657,1.731,2.790,-1.087,8.000,8.000,33.13,73.969,10.247,4.849,-0.367,15.509,15.509,45.03,47.381,0.829,2.729,-1.103,8.000,8.000,32.86,46.568,0.886,2.683,-1.107,8.000,8.000,32.25,50.592,3.389,2.684,-1.107,8.000,8.000,33.43,50.434,1.918,2.683,-1.107,8.000,8.000,34.35
