,ID 978,ID 978,ID 978,ID 978,ID 978,ID 978,ID 978,ID 858,ID 858,ID 858,ID 858,ID 858,ID 858,ID 858,ID 998,ID 998,ID 998,ID 998,ID 998,ID 998,ID 998,ID 684,ID 684,ID 684,ID 684,ID 684,ID 684,ID 684
,DESTER,DESTER,DESTER,DESTER,DESTER,DESTER,DESTER,EITEL,EITEL,EITEL,EITEL,EITEL,EITEL,EITEL,NAIDON,NAIDON,NAIDON,NAIDON,NAIDON,NAIDON,NAIDON,STRASKY,STRASKY,STRASKY,STRASKY,STRASKY,STRASKY,STRASKY
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:02.670,38.798,80.236,3.270,-0.892,8.000,8.000,29.05,38.942,80.284,3.233,-0.899,8.000,8.000,28.97,40.453,81.028,3.231,-0.900,8.000,8.000,28.38,40.499,81.04,3.187,-0.915,8.000,8.000,28.36
00:02.770,38.51,80.319,3.099,-0.935,8.000,8.000,29.30,38.638,80.391,3.061,-0.944,8.000,8.000,29.23,40.188,81.163,3.058,-0.946,8.000,8.000,28.69,40.227,81.166,3.014,-0.961,8.000,8.000,28.67
00:02.870,38.17,80.402,2.929,-0.979,8.000,8.000,29.56,38.349,80.465,2.889,-0.989,8.000,8.000,29.52,39.87,81.259,2.884,-0.991,8.000,8.000,28.97,39.876,81.216,2.841,-1.006,8.000,8.000,28.95
00:02.970,37.849,80.48,2.759,-1.023,8.000,8.000,29.86,38.046,80.56,2.716,-1.033,8.000,8.000,29.78,39.59,81.341,2.711,-1.036,8.000,8.000,29.27,39.556,81.267,2.667,-1.051,8.000,8.000,29.23
00:03.070,37.553,80.517,2.675,-1.012,8.000,8.000,30.14,37.69,80.643,2.628,-1.025,8.000,8.000,30.06,39.308,81.397,2.578,-1.050,8.000,8.000,29.52,39.238,81.312,2.534,-1.065,8.000,8.000,29.49
00:03.170,37.253,80.557,2.591,-1.002,8.000,8.000,30.38,37.398,80.712,2.540,-1.016,8.000,8.000,30.37,39.07,81.489,2.444,-1.064,8.000,8.000,29.76,38.965,81.39,2.401,-1.079,8.000,8.000,29.75
00:03.270,36.933,80.626,2.508,-0.991,8.000,8.000,30.62,37.065,80.795,2.452,-1.008,8.000,8.000,30.63,38.79,81.576,2.311,-1.078,8.000,8.000,29.99,38.657,81.486,2.267,-1.093,8.000,8.000,30.00
00:03.370,36.594,80.723,2.424,-0.981,8.000,8.000,30.90,36.773,80.846,2.364,-0.999,8.000,8.000,30.92,38.463,81.689,2.178,-1.092,8.000,8.000,30.25,38.353,81.569,2.134,-1.107,8.000,8.000,30.28
00:03.470,36.239,80.82,2.341,-0.970,8.000,8.000,31.20,36.418,80.928,2.276,-0.991,8.000,8.000,31.16,38.181,81.782,2.044,-1.106,8.000,8.000,30.57,38.038,81.659,2.000,-1.121,8.000,8.000,30.56
00:03.570,35.879,80.921,2.282,-0.943,8.000,8.000,31.52,36.028,81.024,2.215,-0.964,8.000,8.000,31.47,37.895,81.8,1.925,-1.103,8.000,8.000,30.83,37.759,81.685,1.925,-1.103,8.000,8.000,30.84
00:03.670,35.438,81.033,2.268,-0.901,8.000,8.000,31.85,35.55,81.114,2.198,-0.923,8.000,8.000,31.82,37.522,81.788,1.850,-1.084,8.000,8.000,31.05,37.468,81.68,1.850,-1.084,8.000,8.000,31.06
00:03.770,35.001,81.13,2.253,-0.858,8.146,8.146,32.24,35.105,81.181,2.180,-0.881,8.052,8.052,32.22,37.209,81.811,1.774,-1.066,8.000,8.000,31.30,37.177,81.666,1.775,-1.066,8.000,8.000,31.26
00:03.870,34.568,81.206,2.238,-0.816,8.146,8.585,32.62,34.654,81.276,2.163,-0.839,8.052,8.513,32.58,36.952,81.79,1.699,-1.047,8.000,8.000,31.54,36.93,81.683,1.699,-1.047,8.000,8.000,31.46
00:03.970,34.126,81.295,2.224,-0.774,8.146,9.036,32.98,34.226,81.37,2.145,-0.798,8.052,8.951,32.97,36.612,81.789,1.623,-1.029,8.000,8.000,31.71,36.67,81.679,1.624,-1.028,8.000,8.000,31.65
00:04.070,33.619,81.384,2.209,-0.731,9.483,9.551,33.35,33.788,81.431,2.189,-0.736,9.392,9.393,33.34,36.261,81.832,1.606,-0.986,8.000,8.000,31.94,36.345,81.717,1.604,-0.987,8.000,8.000,31.83
00:04.170,33.153,81.478,2.249,-0.672,9.483,10.021,33.77,33.349,81.511,2.232,-0.674,9.392,9.839,33.69,35.953,81.828,1.589,-0.943,8.000,8.000,32.22,36.005,81.793,1.585,-0.945,8.000,8.000,32.08
00:04.270,32.655,81.573,2.290,-0.613,10.980,10.527,34.17,32.902,81.591,2.276,-0.613,9.392,10.284,34.06,35.637,81.825,1.572,-0.900,8.000,8.000,32.44,35.694,81.83,1.565,-0.903,8.000,8.000,32.38
00:04.370,32.179,81.648,2.330,-0.554,10.980,11.007,34.59,32.396,81.652,2.319,-0.551,9.392,10.793,34.43,35.309,81.827,1.555,-0.857,8.000,8.000,32.66,35.372,81.851,1.545,-0.862,8.000,8.000,32.62
00:04.470,31.699,81.724,2.370,-0.495,10.980,11.493,34.98,31.876,81.721,2.363,-0.489,10.801,11.318,34.83,34.996,81.818,1.538,-0.814,8.274,8.274,32.89,35.061,81.857,1.526,-0.820,8.217,8.217,32.87
00:04.570,31.214,81.787,2.435,-0.435,10.980,11.983,35.37,31.407,81.768,2.431,-0.427,10.801,11.788,35.25,34.665,81.811,1.564,-0.760,8.274,8.598,33.11,34.739,81.887,1.550,-0.767,8.217,8.539,33.09
00:04.670,30.757,81.829,2.523,-0.367,12.436,12.431,35.76,30.988,81.806,2.512,-0.362,10.801,12.200,35.61,34.362,81.819,1.591,-0.706,8.274,8.898,33.34,34.386,81.92,1.575,-0.713,8.217,8.893,33.34
00:04.770,30.259,81.868,2.610,-0.299,12.436,12.931,36.11,30.481,81.886,2.594,-0.297,12.217,12.710,35.93,34.022,81.831,1.617,-0.652,8.274,9.235,33.56,34.039,81.966,1.600,-0.660,9.244,9.243,33.61
00:04.870,29.77,81.909,2.697,-0.231,12.436,13.421,36.49,29.934,81.953,2.675,-0.231,12.217,13.261,36.35,33.666,81.864,1.644,-0.598,8.274,9.590,33.81,33.63,82.017,1.625,-0.606,9.244,9.653,33.89
00:04.970,29.246,81.934,2.785,-0.164,13.885,13.945,36.87,29.362,81.98,2.757,-0.166,13.281,13.833,36.78,33.313,81.891,1.670,-0.544,9.604,9.943,34.08,33.264,82.125,1.650,-0.553,9.244,10.001,34.21
00:05.070,28.723,81.955,2.888,-0.100,13.885,14.460,37.26,28.757,82.007,2.871,-0.101,13.281,14.427,37.21,32.922,81.939,1.728,-0.488,9.604,10.307,34.35,32.903,82.192,1.709,-0.495,9.244,10.357,34.55
00:05.170,28.164,81.969,3.008,-0.032,14.933,15.019,37.64,28.176,82.027,2.986,-0.035,14.459,15.008,37.65,32.467,82.054,1.786,-0.432,9.604,10.772,34.66,32.572,82.209,1.769,-0.438,10.402,10.688,34.85
00:05.270,27.685,81.96,3.129,0.035,14.933,15.498,38.05,27.644,82.024,3.101,0.030,14.459,15.540,38.08,32.041,82.157,1.844,-0.375,10.817,11.209,35.06,32.179,82.222,1.829,-0.380,10.402,11.080,35.10
00:05.370,27.092,81.974,3.250,0.103,15.971,16.087,38.38,27.145,82.044,3.215,0.096,15.572,16.034,38.45,31.659,82.206,1.902,-0.319,10.817,11.594,35.44,31.754,82.235,1.889,-0.323,11.551,11.503,35.39
00:05.470,26.52,81.978,3.370,0.170,15.971,16.659,38.81,26.693,82.051,3.330,0.161,15.572,16.486,38.82,31.239,82.274,1.960,-0.263,12.064,11.996,35.74,31.329,82.234,1.948,-0.265,11.551,11.925,35.70
00:05.570,25.957,81.987,3.458,0.210,17.136,17.221,39.21,26.203,82.054,3.414,0.200,17.013,16.975,39.14,30.833,82.354,2.045,-0.207,12.064,12.391,36.09,30.925,82.238,2.031,-0.210,11.551,12.293,36.00
00:05.670,25.399,81.998,3.557,0.250,18.257,17.779,39.62,25.695,82.053,3.519,0.244,17.013,17.483,39.49,30.437,82.405,2.131,-0.151,12.064,12.790,36.43,30.557,82.249,2.115,-0.156,12.748,12.660,36.28
